## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/app/pipeline_folder/aligned_reads/insert_size_histogram.pdf INPUT=/app/pipeline_folder/aligned_reads/SRR30661808_sorted_dedup_reads.bam OUTPUT=/app/pipeline_folder/aligned_reads/insert_size_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=2 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Oct 08 10:27:53 UTC 2024

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
191	145	34	2	1508582	215.001972	76.07974	2535835	FR	15	29	43	55	69	81	95	161	293	417	697			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	2
3	2
4	7
5	11
6	4
7	11
8	4
9	2
10	5
11	6
12	5
13	12
14	33
15	9
16	5
17	7
18	8
19	2520
20	977
21	554
22	62
23	99
24	30
25	132
26	95
27	238
28	127
29	51
30	34
31	34
32	45
33	38
34	55
35	76
36	157
37	56
38	56
39	58
40	64
41	79
42	77
43	110
44	77
45	81
46	92
47	236
48	127
49	225
50	110
51	214
52	98
53	168
54	137
55	164
56	228
57	206
58	92
59	127
60	186
61	147
62	147
63	149
64	162
65	164
66	186
67	249
68	180
69	261
70	170
71	185
72	181
73	196
74	202
75	238
76	194
77	236
78	232
79	179
80	263
81	239
82	269
83	253
84	265
85	241
86	259
87	295
88	277
89	289
90	295
91	362
92	358
93	368
94	367
95	453
96	521
97	426
98	401
99	453
100	395
101	420
102	414
103	529
104	452
105	439
106	430
107	529
108	482
109	465
110	505
111	537
112	586
113	542
114	534
115	561
116	615
117	644
118	640
119	579
120	673
121	667
122	761
123	714
124	713
125	801
126	778
127	840
128	808
129	866
130	903
131	992
132	930
133	944
134	963
135	1038
136	994
137	1045
138	1026
139	1150
140	1171
141	1133
142	1244
143	1500
144	31295
145	31592
146	31582
147	30869
148	31012
149	30828
150	30915
151	30487
152	30236
153	30176
154	29701
155	29300
156	29400
157	29022
158	28737
159	28544
160	28402
161	28102
162	27542
163	27527
164	27286
165	26992
166	26383
167	26213
168	26001
169	25599
170	25193
171	24939
172	24390
173	24360
174	23599
175	23524
176	23143
177	22841
178	22329
179	22083
180	22019
181	21478
182	21457
183	20985
184	20702
185	20251
186	19743
187	19760
188	19002
189	19017
190	18651
191	18356
192	17977
193	17669
194	16997
195	16876
196	16657
197	16625
198	16262
199	15723
200	15703
201	15471
202	14885
203	14618
204	14323
205	14314
206	13915
207	13451
208	13306
209	13314
210	12857
211	12864
212	12337
213	12408
214	11965
215	11887
216	11327
217	11398
218	11040
219	10859
220	10694
221	10717
222	10400
223	9981
224	10019
225	9567
226	9475
227	9453
228	9305
229	9116
230	8858
231	8773
232	8631
233	8526
234	8434
235	8232
236	8111
237	8117
238	7771
239	7652
240	7522
241	7580
242	7456
243	7207
244	7159
245	6930
246	6938
247	6702
248	6751
249	6521
250	6603
251	6294
252	6237
253	6414
254	6086
255	6059
256	5907
257	5901
258	5771
259	5708
260	5557
261	5582
262	5496
263	5299
264	5320
265	5165
266	5170
267	5127
268	5173
269	5065
270	4902
271	4811
272	4847
273	4677
274	4838
275	4669
276	4585
277	4504
278	4470
279	4377
280	4312
281	4326
282	4373
283	4184
284	4287
285	4088
286	4186
287	4082
288	3960
289	3864
290	4001
291	3962
292	3987
293	3851
294	3874
295	3847
296	3872
297	3765
298	3702
299	3652
300	3614
301	3515
302	3485
303	3443
304	3481
305	3397
306	3447
307	3376
308	3244
309	3309
310	3266
311	3182
312	3142
313	3249
314	3196
315	3227
316	3215
317	3139
318	3043
319	3057
320	3067
321	3119
322	2968
323	2916
324	2924
325	2975
326	2752
327	2860
328	2813
329	2822
330	2788
331	2652
332	2698
333	2673
334	2648
335	2641
336	2598
337	2570
338	2568
339	2487
340	2482
341	2540
342	2507
343	2312
344	2446
345	2416
346	2434
347	2359
348	2250
349	2242
350	2309
351	2352
352	2215
353	2187
354	2287
355	2201
356	2148
357	2163
358	2140
359	2041
360	2068
361	2013
362	1993
363	2021
364	2002
365	1895
366	1893
367	1932
368	1911
369	1933
370	1824
371	1859
372	1814
373	1920
374	1854
375	1776
376	1839
377	1780
378	1736
379	1691
380	1719
381	1696
382	1673
383	1700
384	1601
385	1636
386	1617
387	1626
388	1575
389	1574
390	1480
391	1560
392	1544
393	1512
394	1490
395	1481
396	1465
397	1470
398	1478
399	1343
400	1329
401	1387
402	1354
403	1387
404	1312
405	1324
406	1287
407	1356
408	1275
409	1225
410	1258
411	1203
412	1213
413	1211
414	1253
415	1225
416	1159
417	1151
418	1161
419	1115
420	1145
421	1155
422	1135
423	1074
424	1070
425	1088
426	1061
427	1068
428	982
429	1013
430	1072
431	938
432	985
433	953
434	1005
435	964
436	932
437	962
438	957
439	924
440	910
441	939
442	943
443	908
444	941
445	838
446	896
447	858
448	839
449	812
450	831
451	769
452	794
453	796
454	783
455	739
456	758
457	792
458	750
459	746
460	754
461	726
462	695
463	696
464	728
465	716
466	668
467	667
468	696
469	653
470	694
471	656
472	665
473	632
474	636
475	592
476	620
477	630
478	565
479	635
480	627
481	579
482	594
483	573
484	558
485	532
486	542
487	501
488	529
489	537
490	548
491	552
492	515
493	487
494	472
495	518
496	481
497	477
498	452
499	483
500	432
501	446
502	424
503	435
504	430
505	417
506	410
507	404
508	412
509	374
510	419
511	360
512	383
513	377
514	368
515	328
516	341
517	376
518	342
519	334
520	353
521	351
522	322
523	346
524	380
525	341
526	334
527	327
528	319
529	301
530	280
531	298

